  Page 1                                             17-02-2014 23:18:05
  **********************************************************************
  *                             E P A N E T                            *
  *                     Hydraulic and Water Quality                    *
  *                     Analysis for Pipe Networks                     *
  *                           Version 2.0                              *
  **********************************************************************
  
  Input File: saomamede1.13.1 (calibrado).NET
  
  prueba
  
  Link - Node Table:
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  vs106-190      n190           nv190'                0.1        80
  vs107-193      n193           nv193                 0.1        80
  vs108-195      nv195          n195                  0.1        80
  vs109-195      n195           nv195'                0.1        80
  vs110-197      n197           nv197                 0.1        80
  vs111-198      n198           nv198                 0.1        63
  vs112-200      n200           nv200                 0.1        80
  vs113-202      nv202          n202                  0.1        80
  vs114-202      n202           nv202'                0.1        80
  vs115-203      n203           nv203                 0.1        80
  vs116-204      n204           nv204                 0.1        80
  vs117-204      n204           nv204'                0.1        80
  vs118-207      nv207          n207                  0.1        80
  vs119-208      nv208          n208                  0.1        80
  vs120-207      n207           nv207'                0.1        80
  vs122-210      nv210          n210                  0.1        80
  vs123-202      n202           nv202''               0.1        80


  Page 10                                                         prueba
  Link - Node Table: (continued)
  ----------------------------------------------------------------------
  Link           Start          End                Length  Diameter
  ID             Node           Node                    m        mm
  ----------------------------------------------------------------------
  vs124-212      n212           nv212                 0.1        63
  vs125-214      nv214          n214                  0.1        80
  vs126-218      n218           nv218                 0.1       100
  vs127-219      n219           nv219                 0.1        80
  vs128-221      n221           nv221                 0.1        80
  vs131-241      n241           nv241                 0.1        80
  vs132-244      n244           nv244                 0.1        80
  vs133-246      n246           nv246                 0.1        80
  vs134-249      nv249          n249                  0.1        80
  vs135-251      n251           nv251                 0.1        80
  vs136-255      nv255          n255                  0.1        80
  vs137-255      n255           nv255'                0.1        80
  vs138-256      n256           nv256                 0.1        80
  vs139-258      n258           nv258                 0.1        80
  vs140-261      n261           nv261                 0.1        80
  vs141-269      n269           nv269                 0.1        80
  vs142-271      n271           nv271                 0.1        80
  vs143-275      n275           nv275                 0.1        50
  vs144-279      n279           nv279                 0.1        80
  vt1            TANK-2         n2                    0.1       160
  vt2            TANK-1         ext1                  0.1        90
  vrp1-41        nv41           nv41'                #N/A        80 Valve
  vrp3-96        n96            nv96                 #N/A        80 Valve
  vrp4-127       n127           nv127                #N/A       150 Valve
  vrp6-155       n155           nv155                #N/A        80 Valve
  vrp-7-191      n191           nv191                #N/A        80 Valve
  vrp8-216       n216           nv216                #N/A       150 Valve
  vrp9-235       n235           nv235                #N/A       100 Valve
  vrp10-250      n250           nv250                #N/A        80 Valve
  vrp2-83        n83            nv83                 #N/A        80 Valve
  vrp5-122       n122           nv122                #N/A       150 Valve
  V1             ext1           n1                   #N/A        80 Valve
  
  Node Results:
  ----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m      mg/L
  ----------------------------------------------------------------------
  n223                  0.02    226.17     66.07      0.00
  n225                  0.01    226.17     64.57      0.00
  n226                  0.02    226.17     67.77      0.00
  n229                  0.01    226.17     58.07      0.00
  n231                  0.01    226.17     62.37      0.00
  n227                  0.01    226.17     56.47      0.00
  n230                  0.01    226.17     58.17      0.00
  n221                  0.18    226.17     79.17      0.00
  n228                  0.00    226.17     55.87      0.00


  Page 11                                                         prueba
  Node Results: (continued)
  ----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m      mg/L
  ----------------------------------------------------------------------
  n224                  0.03    226.17     68.27      0.00
  n222                  0.09    226.17     80.77      0.00
  n273                  0.02    118.17     61.87      0.00
  n275                  0.06    118.17     68.27      0.00
  n277                  0.01    118.17     81.07      0.00
  n278                  0.03    118.17     80.27      0.00
  n262                  0.07    118.16     25.36      0.00
  n264                  0.09    118.11     15.51      0.00
  nv261                 0.00    118.27     19.57      0.00
  n271                  0.03    118.20     43.00      0.00
  n272                  0.03    118.20     36.60      0.00
  n269                  0.12    118.23     28.63      0.00
  n280                  0.07    118.16     78.36      0.00
  nv279                 0.00    118.17     81.07      0.00
  n266                  0.29    117.97      5.07      0.00
  n267                  0.08    117.97     35.77      0.00
  n276                  0.02    118.16     83.16      0.00
  n263                  0.04    118.16     31.46      0.00
  n274                  0.07    118.17     65.67      0.00
  n219                  0.01    226.23     77.73      0.00
  n220                  0.06    226.23     50.83      0.00
  n218                  0.16    226.25     67.35      0.00
  n232                  0.04    225.65     73.65      0.00
  n233                  0.11    225.65     86.35      0.00
  n217                  0.03    227.10      7.00      0.00
  n215                  0.07    282.28     62.08      0.00
  nv216                 0.00    227.10      7.00      0.00
  n237                  0.08    165.21     26.11      0.00
  n236                  0.00    166.19     15.19      0.00
  n234                  0.00    225.59     74.49      0.00
  n239                  0.16    163.59     37.79      0.00
  n238                  0.04    165.20     34.80      0.00
  n188                  0.11    282.88    105.88      0.00
  n189                  0.09    282.88    107.58      0.00
  n265                  0.08    118.10      8.10      0.00
  n268                  0.19    117.94     21.64      0.00
  n187                  0.04    282.90     50.80      0.00
  n4                    0.04    358.84     18.84      0.00
  n6                    0.04    358.01     41.31      0.00
  n9                    0.15    356.89     45.29      0.00
  n8                    0.27    357.23     44.83      0.00
  n7                    0.03    358.01     24.71      0.00
  n5                    0.01    358.84     14.74      0.00
  nv250                 0.00    118.90     10.00      0.00
  n251                  0.06    118.78     10.58      0.00
  n261                  0.07    118.27     19.57      0.00
  nv251                 0.00    118.78     10.58      0.00


  Page 12                                                         prueba
  Node Results: (continued)
  ----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m      mg/L
  ----------------------------------------------------------------------
  n252                  0.07    118.78     24.38      0.00
  n258                  0.03    118.48     21.88      0.00
  n256                  0.02    118.49     19.19      0.00
  n253                  0.06    118.52     12.02      0.00
  n254                  0.02    118.52      8.02      0.00
  n255                  0.00    118.51     12.21      0.00
  n259                  0.09    118.48     21.68      0.00
  n260                  0.16    118.47     28.97      0.00
  n257                  0.09    118.49     18.79      0.00
  n270                  0.18    118.23     34.73      0.00
  n212                  0.04    202.66     93.46      0.00
  n214                  0.06    202.66     99.56      0.00
  n241                  0.12    161.05     48.65      0.00
  n197                  0.12    202.70     84.60      0.00
  n195                  0.05    202.96     64.76      0.00
  n202                  0.05    202.66     88.86      0.00
  n206                  0.02    202.64     89.74      0.00
  n204                  0.01    202.64     90.34      0.00
  n249                  0.13    161.05     58.05      0.00
  n242                  0.04    160.99     44.49      0.00
  n244                  0.08    160.92     41.02      0.00
  n245                  0.05    160.92     43.22      0.00
  n240                  0.03    161.54     52.04      0.00
  n207                  0.15    202.63     97.23      0.00
  nv209                 0.00    202.63    101.33      0.00
  n193                  0.03    203.11     52.01      0.00
  n190                  0.07    203.31     33.11      0.00
  n213                  0.11    202.65     91.55      0.00
  n208                  0.11    202.63    106.83      0.00
  nv244                 0.00    160.92     41.02      0.00
  n246                  1.08    160.75     29.35      0.00
  n198                  0.06    202.69     81.29      0.00
  n199                  0.04    202.69     70.49      0.00
  n243                  0.08    160.99     34.29      0.00
  n196                  0.05    202.96     65.36      0.00
  n200                  0.06    202.69     79.89      0.00
  nv246                 0.00    160.75     29.25      0.00
  n210                  0.01    202.63    106.93      0.00
  n211                  0.03    202.63    109.13      0.00
  n247                  0.20    160.74     17.14      0.00
  nv203                 0.00    202.64     91.64      0.00
  n248                  0.11    160.74     12.54      0.00
  n205                  0.02    202.64     89.54      0.00
  n157                  0.06    218.92     11.22      0.00
  n165                  0.18    218.66     24.46      0.00
  n161                  0.02    218.91     22.71      0.00
  n159                  0.03    218.91     23.91      0.00


  Page 13                                                         prueba
  Node Results: (continued)
  ----------------------------------------------------------------------
  Node                Demand      Head  Pressure   Quality
  ID                     LPS         m         m      mg/L
  ----------------------------------------------------------------------
  n158                  0.03    218.91     21.11      0.00
  n166                  0.03    218.66     50.36      0.00
  n154                  0.00    284.28     70.18      0.00
  n155                  0.00    284.27     70.17      0.00
  n175                  0.08    217.12    101.62      0.00
  n176                  0.08    217.12    102.72      0.00
  n156                  0.00    219.09      4.99      0.00
  nv154                 0.00    219.09      4.99      0.00
  nv191                 0.00    203.80      5.00      0.00
  n192                  0.05    203.78      5.48      0.00
  n191                  0.00    282.92     84.12      0.00
  n186                  0.06    283.30     60.00      0.00
  n163                  0.02    218.91     22.21      0.00
  n201                  0.05    202.69     81.39      0.00
  n177                  0.06    217.12     96.82      0.00
  n160                  0.03    218.91     29.81      0.00
  n162                  0.02    218.91     29.41      0.00
  n174                  0.02    217.14     94.44      0.00
  nv178                 0.00    217.13     97.53      0.00
